Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Germany,DEU,41531.934197868904,46644.776027968,43858.3630551076,46285.764068840705,47959.9932737599,41086.7296737253,42107.517270307406,44552.819371907804,47810.507670634805,46445.2491012508
Djibouti,DJI,1343.2687299443699,1451.5429798438902,1559.24065068226,2312.72880330353,2464.3278411936103,2658.9787526018104,2802.19705115707,2914.3838563125105,3141.88921873893,3414.92486968779
Dominica,DMA,6967.26665433457,7065.06184677542,6848.3942266793,7016.67647144723,7318.1037828994495,7596.43506226258,8080.968623411859,7274.721333329191,7693.878870144141,8110.56851191655
Denmark,DNK,58041.398436338495,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801136,61598.536704393606,60170.3426365069
Dominican Republic,DOM,5555.3897219561095,5913.43207211309,6110.36965236196,6238.13360825277,6608.8281018076905,6921.51722848184,7280.88010923336,7609.33879952227,8050.63044036673,8282.11635935324
Algeria,DZA,4479.34171958005,5462.260897231829,5591.212353224039,5498.78409497823,5494.3523360423,4187.50972747204,3945.48208133854,4111.29411013269,4153.73397805915,3973.96407191565
East Asia & Pacific (excluding high income),EAP,4005.57170065979,4858.63674323146,5378.90505007494,5891.5352401746395,6306.40729042009,6522.74911529277,6612.327237081489,7173.567315261429,7971.67338559114,8222.276872847759
Early-demographic dividend,EAR,2948.87204282775,3257.3443628162104,3366.87046095254,3378.1492126418702,3448.53126063778,3302.7291244648304,3334.11968835416,3555.34490649832,3585.32218812471,3644.0145979348104
East Asia & Pacific,EAS,7698.067615947241,8861.50906334251,9420.554328497281,9466.30354889193,9703.353762671071,9598.345328067071,9858.04901339385,10467.4430246664,11318.6354877622,11530.1381346129
Europe & Central Asia (excluding high income),ECA,7794.233153962579,9628.08489901196,10206.460122483199,10748.2150485055,9910.10934999672,7472.89501961602,7058.861718861609,7879.81868059063,8031.86420929148,8133.26084670603
Europe & Central Asia,ECS,23614.2280637492,26118.770259731602,25075.8450008035,26079.542795356298,26305.7925229878,22554.467246803502,22383.0497887935,23629.106223799503,25215.271962336297,24744.1402883946
Ecuador,ECU,4633.59035839904,5200.55579014874,5682.045006553531,6056.3308269681,6377.09153014217,6124.49164262072,6060.09332904416,6213.50127649921,6295.93539868079,6183.823824821729
"Egypt, Arab Rep.",EGY,2645.96904651925,2791.8107989556797,3229.6856303038,3262.65802934248,3379.55850951075,3562.93273506849,3519.8732025425898,2444.29031115094,2537.1253654904,3019.20582861756
Euro area,EMU,37568.889153629905,40615.3479697679,37599.915754443,39105.1517383111,39858.3739785371,34370.787184202,35147.7422259268,37140.6698528957,40038.5067764355,38984.6859895145
Eritrea,ERI,501.35563326624606,642.507659063694,,,,,,,,
Spain,ESP,30502.7197080776,31636.4463142558,28324.4293363918,29059.5479522321,29461.550333738902,25732.0183647454,26505.3432155204,28170.1678643302,30389.3609902899,29600.3782526602
Estonia,EST,14790.8209234701,17621.547962894398,17534.421349913002,19174.1003261509,20367.103161316,17522.230186252,18437.252820717298,20458.4607286705,23170.7073775514,23723.306112847997
Ethiopia,ETH,341.554114905179,354.47957584134696,467.077927241718,499.531572059907,566.926466461984,640.5418913136821,717.124592933285,768.5223075793859,771.523813864476,855.7608622808381
